Data,Unidade,Linha,Turno,Producao_Planejada,Producao_Real
2024-02-25,Base Macaé,Linha C,Noite,80,59
2024-02-26,Base Macaé,Linha A,Manhã,120,116
2024-02-26,Base Macaé,Linha A,Tarde,120,113
2024-02-26,Base Macaé,Linha A,Noite,120,114
2024-02-26,Base Macaé,Linha B,Manhã,100,93
2024-02-26,Base Macaé,Linha B,Tarde,100,91
2024-02-26,Base Macaé,Linha B,Noite,100,95
2024-02-26,Base Macaé,Linha C,Manhã,80,68
2024-02-26,Base Macaé,Linha C,Tarde,80,58
2024-02-26,Base Macaé,Linha C,Noite,80,58
2024-02-27,Base Macaé,Linha A,Manhã,120,103
2024-02-27,Base Macaé,Linha A,Tarde,120,113
2024-02-27,Base Macaé,Linha A,Noite,120,90
2024-02-27,Base Macaé,Linha B,Manhã,100,97
2024-02-27,Base Macaé,Linha B,Tarde,100,95
2024-02-27,Base Macaé,Linha B,Noite,100,77
2024-02-27,Base Macaé,Linha C,Manhã,80,65
2024-02-27,Base Macaé,Linha C,Tarde,80,61
2024-02-27,Base Macaé,Linha C,Noite,80,53
2024-02-28,Base Macaé,Linha A,Manhã,120,101
2024-02-28,Base Macaé,Linha A,Tarde,120,98
2024-02-28,Base Macaé,Linha A,Noite,120,100
2024-02-28,Base Macaé,Linha B,Manhã,100,77
2024-02-28,Base Macaé,Linha B,Tarde,100,76
2024-02-28,Base Macaé,Linha B,Noite,100,77
2024-02-28,Base Macaé,Linha C,Manhã,80,61
2024-02-28,Base Macaé,Linha C,Tarde,80,60
2024-02-28,Base Macaé,Linha C,Noite,80,53
2024-02-29,Base Macaé,Linha A,Manhã,120,90
2024-02-29,Base Macaé,Linha A,Tarde,120,93
2024-02-29,Base Macaé,Linha A,Noite,120,104
2024-02-29,Base Macaé,Linha B,Manhã,100,82
2024-02-29,Base Macaé,Linha B,Tarde,100,84
2024-02-29,Base Macaé,Linha B,Noite,100,88
2024-02-29,Base Macaé,Linha C,Manhã,80,59
2024-02-29,Base Macaé,Linha C,Tarde,80,70
2024-02-29,Base Macaé,Linha C,Noite,80,68
2024-03-01,Base Macaé,Linha A,Manhã,120,110
2024-03-01,Base Macaé,Linha A,Tarde,120,98
2024-03-01,Base Macaé,Linha A,Noite,120,116
2024-03-01,Base Macaé,Linha B,Manhã,100,81
2024-03-01,Base Macaé,Linha B,Tarde,100,90
2024-03-01,Base Macaé,Linha B,Noite,100,83
2024-03-01,Base Macaé,Linha C,Manhã,80,65
2024-03-01,Base Macaé,Linha C,Tarde,80,60
2024-03-01,Base Macaé,Linha C,Noite,80,69
2024-03-02,Base Macaé,Linha A,Manhã,120,98
2024-03-02,Base Macaé,Linha A,Tarde,120,93
2024-03-02,Base Macaé,Linha A,Noite,120,99
2024-03-02,Base Macaé,Linha B,Manhã,100,90
2024-03-02,Base Macaé,Linha B,Tarde,100,81
2024-03-02,Base Macaé,Linha B,Noite,100,80
2024-03-02,Base Macaé,Linha C,Manhã,80,61
2024-03-02,Base Macaé,Linha C,Tarde,80,54
2024-03-02,Base Macaé,Linha C,Noite,80,68
2024-03-03,Base Macaé,Linha A,Manhã,120,107
2024-03-03,Base Macaé,Linha A,Tarde,120,107
2024-03-03,Base Macaé,Linha A,Noite,120,106
2024-03-03,Base Macaé,Linha B,Manhã,100,83
2024-03-03,Base Macaé,Linha B,Tarde,100,94
2024-03-03,Base Macaé,Linha B,Noite,100,89
2024-03-03,Base Macaé,Linha C,Manhã,80,68
2024-03-03,Base Macaé,Linha C,Tarde,80,54
2024-03-03,Base Macaé,Linha C,Noite,80,62
2024-03-04,Base Macaé,Linha A,Manhã,120,95
2024-03-04,Base Macaé,Linha A,Tarde,120,106
2024-03-04,Base Macaé,Linha A,Noite,120,95
2024-03-04,Base Macaé,Linha B,Manhã,100,79
2024-03-04,Base Macaé,Linha B,Tarde,100,76
2024-03-04,Base Macaé,Linha B,Noite,100,91
2024-03-04,Base Macaé,Linha C,Manhã,80,61
2024-03-04,Base Macaé,Linha C,Tarde,80,52
2024-03-04,Base Macaé,Linha C,Noite,80,58
2024-03-05,Base Macaé,Linha A,Manhã,120,114
2024-03-05,Base Macaé,Linha A,Tarde,120,104
2024-03-05,Base Macaé,Linha A,Noite,120,116
2024-03-05,Base Macaé,Linha B,Manhã,100,88
2024-03-05,Base Macaé,Linha B,Tarde,100,92
2024-03-05,Base Macaé,Linha B,Noite,100,78
2024-03-05,Base Macaé,Linha C,Manhã,80,62
2024-03-05,Base Macaé,Linha C,Tarde,80,62
2024-03-05,Base Macaé,Linha C,Noite,80,55
2024-03-06,Base Macaé,Linha A,Manhã,120,93
2024-03-06,Base Macaé,Linha A,Tarde,120,91
2024-03-06,Base Macaé,Linha A,Noite,120,106
2024-03-06,Base Macaé,Linha B,Manhã,100,78
2024-03-06,Base Macaé,Linha B,Tarde,100,96
2024-03-06,Base Macaé,Linha B,Noite,100,86
2024-03-06,Base Macaé,Linha C,Manhã,80,62
2024-03-06,Base Macaé,Linha C,Tarde,80,67
2024-03-06,Base Macaé,Linha C,Noite,80,56
2024-03-07,Base Macaé,Linha A,Manhã,120,94
2024-03-07,Base Macaé,Linha A,Tarde,120,93
2024-03-07,Base Macaé,Linha A,Noite,120,108
2024-03-07,Base Macaé,Linha B,Manhã,100,94
2024-03-07,Base Macaé,Linha B,Tarde,100,77
2024-03-07,Base Macaé,Linha B,Noite,100,97
2024-03-07,Base Macaé,Linha C,Manhã,80,57
2024-03-07,Base Macaé,Linha C,Tarde,80,73
2024-03-07,Base Macaé,Linha C,Noite,80,67
2024-03-08,Base Macaé,Linha A,Manhã,120,103
2024-03-08,Base Macaé,Linha A,Tarde,120,90
2024-03-08,Base Macaé,Linha A,Noite,120,100
2024-03-08,Base Macaé,Linha B,Manhã,100,97
2024-03-08,Base Macaé,Linha B,Tarde,100,85
2024-03-08,Base Macaé,Linha B,Noite,100,76
2024-03-08,Base Macaé,Linha C,Manhã,80,67
2024-03-08,Base Macaé,Linha C,Tarde,80,68
2024-03-08,Base Macaé,Linha C,Noite,80,65
2024-03-09,Base Macaé,Linha A,Manhã,120,101
2024-03-09,Base Macaé,Linha A,Tarde,120,112
2024-03-09,Base Macaé,Linha A,Noite,120,100
2024-03-09,Base Macaé,Linha B,Manhã,100,82
2024-03-09,Base Macaé,Linha B,Tarde,100,86
2024-03-09,Base Macaé,Linha B,Noite,100,92
2024-03-09,Base Macaé,Linha C,Manhã,80,53
2024-03-09,Base Macaé,Linha C,Tarde,80,63
2024-03-09,Base Macaé,Linha C,Noite,80,58
2024-03-10,Base Macaé,Linha A,Manhã,120,102
2024-03-10,Base Macaé,Linha A,Tarde,120,108
2024-03-10,Base Macaé,Linha A,Noite,120,106
2024-03-10,Base Macaé,Linha B,Manhã,100,94
2024-03-10,Base Macaé,Linha B,Tarde,100,90
2024-03-10,Base Macaé,Linha B,Noite,100,79
2024-03-10,Base Macaé,Linha C,Manhã,80,62
2024-03-10,Base Macaé,Linha C,Tarde,80,67
2024-03-10,Base Macaé,Linha C,Noite,80,62
2024-03-11,Base Macaé,Linha A,Manhã,120,110
2024-03-11,Base Macaé,Linha A,Tarde,120,101
2024-03-11,Base Macaé,Linha A,Noite,120,98
2024-03-11,Base Macaé,Linha B,Manhã,100,95
2024-03-11,Base Macaé,Linha B,Tarde,100,82
2024-03-11,Base Macaé,Linha B,Noite,100,96
2024-03-11,Base Macaé,Linha C,Manhã,80,73
2024-03-11,Base Macaé,Linha C,Tarde,80,61
2024-03-11,Base Macaé,Linha C,Noite,80,58
2024-03-12,Base Macaé,Linha A,Manhã,120,91
2024-03-12,Base Macaé,Linha A,Tarde,120,93
2024-03-12,Base Macaé,Linha A,Noite,120,98
2024-03-12,Base Macaé,Linha B,Manhã,100,96
2024-03-12,Base Macaé,Linha B,Tarde,100,80
2024-03-12,Base Macaé,Linha B,Noite,100,97
2024-03-12,Base Macaé,Linha C,Manhã,80,59
2024-03-12,Base Macaé,Linha C,Tarde,80,63
2024-03-12,Base Macaé,Linha C,Noite,80,68
2024-03-13,Base Macaé,Linha A,Manhã,120,105
2024-03-13,Base Macaé,Linha A,Tarde,120,94
2024-03-13,Base Macaé,Linha A,Noite,120,94
2024-03-13,Base Macaé,Linha B,Manhã,100,86
2024-03-13,Base Macaé,Linha B,Tarde,100,79
2024-03-13,Base Macaé,Linha B,Noite,100,95
2024-03-13,Base Macaé,Linha C,Manhã,80,60
2024-03-13,Base Macaé,Linha C,Tarde,80,68
2024-03-13,Base Macaé,Linha C,Noite,80,57
2024-03-14,Base Macaé,Linha A,Manhã,120,97
2024-03-14,Base Macaé,Linha A,Tarde,120,101
2024-03-14,Base Macaé,Linha A,Noite,120,114
2024-03-14,Base Macaé,Linha B,Manhã,100,87
2024-03-14,Base Macaé,Linha B,Tarde,100,75
2024-03-14,Base Macaé,Linha B,Noite,100,85
2024-03-14,Base Macaé,Linha C,Manhã,80,55
2024-03-14,Base Macaé,Linha C,Tarde,80,55
2024-03-14,Base Macaé,Linha C,Noite,80,54
2024-03-15,Base Macaé,Linha A,Manhã,120,93
2024-03-15,Base Macaé,Linha A,Tarde,120,92
2024-03-15,Base Macaé,Linha A,Noite,120,107
2024-03-15,Base Macaé,Linha B,Manhã,100,86
2024-03-15,Base Macaé,Linha B,Tarde,100,77
2024-03-15,Base Macaé,Linha B,Noite,100,79
2024-03-15,Base Macaé,Linha C,Manhã,80,72
2024-03-15,Base Macaé,Linha C,Tarde,80,57
2024-03-15,Base Macaé,Linha C,Noite,80,67
2024-03-16,Base Macaé,Linha A,Manhã,120,95
2024-03-16,Base Macaé,Linha A,Tarde,120,104
2024-03-16,Base Macaé,Linha A,Noite,120,90
2024-03-16,Base Macaé,Linha B,Manhã,100,97
2024-03-16,Base Macaé,Linha B,Tarde,100,76
2024-03-16,Base Macaé,Linha B,Noite,100,91
2024-03-16,Base Macaé,Linha C,Manhã,80,68
2024-03-16,Base Macaé,Linha C,Tarde,80,73
2024-03-16,Base Macaé,Linha C,Noite,80,69
2024-03-17,Base Macaé,Linha A,Manhã,120,106
2024-03-17,Base Macaé,Linha A,Tarde,120,96
2024-03-17,Base Macaé,Linha A,Noite,120,111
2024-03-17,Base Macaé,Linha B,Manhã,100,95
2024-03-17,Base Macaé,Linha B,Tarde,100,86
2024-03-17,Base Macaé,Linha B,Noite,100,85
2024-03-17,Base Macaé,Linha C,Manhã,80,58
2024-03-17,Base Macaé,Linha C,Tarde,80,57
2024-03-17,Base Macaé,Linha C,Noite,80,67
2024-03-18,Base Macaé,Linha A,Manhã,120,99
2024-03-18,Base Macaé,Linha A,Tarde,120,113
2024-03-18,Base Macaé,Linha A,Noite,120,107
2024-03-18,Base Macaé,Linha B,Manhã,100,86
2024-03-18,Base Macaé,Linha B,Tarde,100,78
2024-03-18,Base Macaé,Linha B,Noite,100,80
2024-03-18,Base Macaé,Linha C,Manhã,80,62
2024-03-18,Base Macaé,Linha C,Tarde,80,55
2024-03-18,Base Macaé,Linha C,Noite,80,64
2024-03-19,Base Macaé,Linha A,Manhã,120,90
2024-03-19,Base Macaé,Linha A,Tarde,120,111
2024-03-19,Base Macaé,Linha A,Noite,120,110
2024-03-19,Base Macaé,Linha B,Manhã,100,82
2024-03-19,Base Macaé,Linha B,Tarde,100,89
2024-03-19,Base Macaé,Linha B,Noite,100,79
2024-03-19,Base Macaé,Linha C,Manhã,80,62
2024-03-19,Base Macaé,Linha C,Tarde,80,64
2024-03-19,Base Macaé,Linha C,Noite,80,60
2024-03-20,Base Macaé,Linha A,Manhã,120,91
2024-03-20,Base Macaé,Linha A,Tarde,120,109
2024-03-20,Base Macaé,Linha A,Noite,120,105
2024-03-20,Base Macaé,Linha B,Manhã,100,87
2024-03-20,Base Macaé,Linha B,Tarde,100,85
2024-03-20,Base Macaé,Linha B,Noite,100,83
2024-03-20,Base Macaé,Linha C,Manhã,80,63
2024-03-20,Base Macaé,Linha C,Tarde,80,54
2024-03-20,Base Macaé,Linha C,Noite,80,55
2024-03-21,Base Macaé,Linha A,Manhã,120,106
2024-03-21,Base Macaé,Linha A,Tarde,120,100
2024-03-21,Base Macaé,Linha A,Noite,120,107
2024-03-21,Base Macaé,Linha B,Manhã,100,93
2024-03-21,Base Macaé,Linha B,Tarde,100,85
2024-03-21,Base Macaé,Linha B,Noite,100,83
2024-03-21,Base Macaé,Linha C,Manhã,80,68
2024-03-21,Base Macaé,Linha C,Tarde,80,65
2024-03-21,Base Macaé,Linha C,Noite,80,68
2024-03-22,Base Macaé,Linha A,Manhã,120,103
2024-03-22,Base Macaé,Linha A,Tarde,120,96
2024-03-22,Base Macaé,Linha A,Noite,120,101
2024-03-22,Base Macaé,Linha B,Manhã,100,96
2024-03-22,Base Macaé,Linha B,Tarde,100,77
2024-03-22,Base Macaé,Linha B,Noite,100,82
2024-03-22,Base Macaé,Linha C,Manhã,80,57
2024-03-22,Base Macaé,Linha C,Tarde,80,67
2024-03-22,Base Macaé,Linha C,Noite,80,72
2024-03-23,Base Macaé,Linha A,Manhã,120,93
2024-03-23,Base Macaé,Linha A,Tarde,120,108
2024-03-23,Base Macaé,Linha A,Noite,120,104
2024-03-23,Base Macaé,Linha B,Manhã,100,95
2024-03-23,Base Macaé,Linha B,Tarde,100,83
2024-03-23,Base Macaé,Linha B,Noite,100,84
2024-03-23,Base Macaé,Linha C,Manhã,80,62
2024-03-23,Base Macaé,Linha C,Tarde,80,53
2024-03-23,Base Macaé,Linha C,Noite,80,64
2024-03-24,Base Macaé,Linha A,Manhã,120,110
2024-03-24,Base Macaé,Linha A,Tarde,120,92
2024-03-24,Base Macaé,Linha A,Noite,120,115
2024-03-24,Base Macaé,Linha B,Manhã,100,97
2024-03-24,Base Macaé,Linha B,Tarde,100,92
2024-03-24,Base Macaé,Linha B,Noite,100,79
2024-03-24,Base Macaé,Linha C,Manhã,80,67
2024-03-24,Base Macaé,Linha C,Tarde,80,72
2024-03-24,Base Macaé,Linha C,Noite,80,60
2024-03-25,Base Macaé,Linha A,Manhã,120,101
2024-03-25,Base Macaé,Linha A,Tarde,120,101
2024-03-25,Base Macaé,Linha A,Noite,120,115
2024-03-25,Base Macaé,Linha B,Manhã,100,92
2024-03-25,Base Macaé,Linha B,Tarde,100,75
2024-03-25,Base Macaé,Linha B,Noite,100,97
2024-03-25,Base Macaé,Linha C,Manhã,80,64
2024-03-25,Base Macaé,Linha C,Tarde,80,53
2024-03-25,Base Macaé,Linha C,Noite,80,59
2024-03-26,Base Macaé,Linha A,Manhã,120,95
2024-03-26,Base Macaé,Linha A,Tarde,120,113
2024-03-26,Base Macaé,Linha A,Noite,120,102
2024-03-26,Base Macaé,Linha B,Manhã,100,86
2024-03-26,Base Macaé,Linha B,Tarde,100,89
2024-03-26,Base Macaé,Linha B,Noite,100,80
2024-03-26,Base Macaé,Linha C,Manhã,80,67
2024-03-26,Base Macaé,Linha C,Tarde,80,65
2024-03-26,Base Macaé,Linha C,Noite,80,60
2024-03-27,Base Macaé,Linha A,Manhã,120,106
2024-03-27,Base Macaé,Linha A,Tarde,120,96
2024-03-27,Base Macaé,Linha A,Noite,120,116
2024-03-27,Base Macaé,Linha B,Manhã,100,93
2024-03-27,Base Macaé,Linha B,Tarde,100,81
2024-03-27,Base Macaé,Linha B,Noite,100,85
2024-03-27,Base Macaé,Linha C,Manhã,80,70
2024-03-27,Base Macaé,Linha C,Tarde,80,56
2024-03-27,Base Macaé,Linha C,Noite,80,56
2024-03-28,Base Macaé,Linha A,Manhã,120,102
2024-03-28,Base Macaé,Linha A,Tarde,120,93
2024-03-28,Base Macaé,Linha A,Noite,120,115
2024-03-28,Base Macaé,Linha B,Manhã,100,84
2024-03-28,Base Macaé,Linha B,Tarde,100,95
2024-03-28,Base Macaé,Linha B,Noite,100,76
2024-03-28,Base Macaé,Linha C,Manhã,80,60
2024-03-28,Base Macaé,Linha C,Tarde,80,62
2024-03-28,Base Macaé,Linha C,Noite,80,54
2024-03-29,Base Macaé,Linha A,Manhã,120,111
2024-03-29,Base Macaé,Linha A,Tarde,120,110
2024-03-29,Base Macaé,Linha A,Noite,120,112
2024-03-29,Base Macaé,Linha B,Manhã,100,75
2024-03-29,Base Macaé,Linha B,Tarde,100,79
2024-03-29,Base Macaé,Linha B,Noite,100,83
2024-03-29,Base Macaé,Linha C,Manhã,80,61
2024-03-29,Base Macaé,Linha C,Tarde,80,67
2024-03-29,Base Macaé,Linha C,Noite,80,60
2024-03-30,Base Macaé,Linha A,Manhã,120,116
2024-03-30,Base Macaé,Linha A,Tarde,120,117
2024-03-30,Base Macaé,Linha A,Noite,120,111
2024-03-30,Base Macaé,Linha B,Manhã,100,84
2024-03-30,Base Macaé,Linha B,Tarde,100,95
2024-03-30,Base Macaé,Linha B,Noite,100,76
2024-03-30,Base Macaé,Linha C,Manhã,80,70
2024-03-30,Base Macaé,Linha C,Tarde,80,53
2024-03-30,Base Macaé,Linha C,Noite,80,59
2024-03-31,Base Macaé,Linha A,Manhã,120,113
2024-03-31,Base Macaé,Linha A,Tarde,120,102
2024-03-31,Base Macaé,Linha A,Noite,120,110
2024-03-31,Base Macaé,Linha B,Manhã,100,81
2024-03-31,Base Macaé,Linha B,Tarde,100,94
2024-03-31,Base Macaé,Linha B,Noite,100,77
2024-03-31,Base Macaé,Linha C,Manhã,80,62
2024-03-31,Base Macaé,Linha C,Tarde,80,66
2024-03-31,Base Macaé,Linha C,Noite,80,57
2024-04-01,Base Macaé,Linha A,Manhã,120,92
2024-04-01,Base Macaé,Linha A,Tarde,120,112
2024-04-01,Base Macaé,Linha A,Noite,120,112
2024-04-01,Base Macaé,Linha B,Manhã,100,88
2024-04-01,Base Macaé,Linha B,Tarde,100,84
2024-04-01,Base Macaé,Linha B,Noite,100,93
2024-04-01,Base Macaé,Linha C,Manhã,80,54
2024-04-01,Base Macaé,Linha C,Tarde,80,64
2024-04-01,Base Macaé,Linha C,Noite,80,65
2024-04-02,Base Macaé,Linha A,Manhã,120,94
2024-04-02,Base Macaé,Linha A,Tarde,120,92
2024-04-02,Base Macaé,Linha A,Noite,120,107
2024-04-02,Base Macaé,Linha B,Manhã,100,87
2024-04-02,Base Macaé,Linha B,Tarde,100,97
2024-04-02,Base Macaé,Linha B,Noite,100,92
2024-04-02,Base Macaé,Linha C,Manhã,80,54
2024-04-02,Base Macaé,Linha C,Tarde,80,53
2024-04-02,Base Macaé,Linha C,Noite,80,55
2024-04-03,Base Macaé,Linha A,Manhã,120,108
2024-04-03,Base Macaé,Linha A,Tarde,120,102
2024-04-03,Base Macaé,Linha A,Noite,120,100
2024-04-03,Base Macaé,Linha B,Manhã,100,86
2024-04-03,Base Macaé,Linha B,Tarde,100,85
2024-04-03,Base Macaé,Linha B,Noite,100,78
2024-04-03,Base Macaé,Linha C,Manhã,80,57
2024-04-03,Base Macaé,Linha C,Tarde,80,54
2024-04-03,Base Macaé,Linha C,Noite,80,66
2024-04-04,Base Macaé,Linha A,Manhã,120,103
2024-04-04,Base Macaé,Linha A,Tarde,120,98
2024-04-04,Base Macaé,Linha A,Noite,120,112
2024-04-04,Base Macaé,Linha B,Manhã,100,81
2024-04-04,Base Macaé,Linha B,Tarde,100,91
2024-04-04,Base Macaé,Linha B,Noite,100,96
2024-04-04,Base Macaé,Linha C,Manhã,80,58
2024-04-04,Base Macaé,Linha C,Tarde,80,56
2024-04-04,Base Macaé,Linha C,Noite,80,65
2024-04-05,Base Macaé,Linha A,Manhã,120,103
2024-04-05,Base Macaé,Linha A,Tarde,120,97
2024-04-05,Base Macaé,Linha A,Noite,120,109
2024-04-05,Base Macaé,Linha B,Manhã,100,91
2024-04-05,Base Macaé,Linha B,Tarde,100,79
2024-04-05,Base Macaé,Linha B,Noite,100,88
2024-04-05,Base Macaé,Linha C,Manhã,80,61
2024-04-05,Base Macaé,Linha C,Tarde,80,64
2024-04-05,Base Macaé,Linha C,Noite,80,53
2024-04-06,Base Macaé,Linha A,Manhã,120,101
2024-04-06,Base Macaé,Linha A,Tarde,120,114
2024-04-06,Base Macaé,Linha A,Noite,120,109
2024-04-06,Base Macaé,Linha B,Manhã,100,76
2024-04-06,Base Macaé,Linha B,Tarde,100,83
2024-04-06,Base Macaé,Linha B,Noite,100,87
2024-04-06,Base Macaé,Linha C,Manhã,80,64
2024-04-06,Base Macaé,Linha C,Tarde,80,52
2024-04-06,Base Macaé,Linha C,Noite,80,58
2024-04-07,Base Macaé,Linha A,Manhã,120,97
2024-04-07,Base Macaé,Linha A,Tarde,120,96
2024-04-07,Base Macaé,Linha A,Noite,120,105
2024-04-07,Base Macaé,Linha B,Manhã,100,78
2024-04-07,Base Macaé,Linha B,Tarde,100,79
2024-04-07,Base Macaé,Linha B,Noite,100,86
2024-04-07,Base Macaé,Linha C,Manhã,80,56
2024-04-07,Base Macaé,Linha C,Tarde,80,66
2024-04-07,Base Macaé,Linha C,Noite,80,72
2024-04-08,Base Macaé,Linha A,Manhã,120,107
2024-04-08,Base Macaé,Linha A,Tarde,120,103
2024-04-08,Base Macaé,Linha A,Noite,120,100
2024-04-08,Base Macaé,Linha B,Manhã,100,75
2024-04-08,Base Macaé,Linha B,Tarde,100,88
2024-04-08,Base Macaé,Linha B,Noite,100,97
2024-04-08,Base Macaé,Linha C,Manhã,80,63
2024-04-08,Base Macaé,Linha C,Tarde,80,65
2024-04-08,Base Macaé,Linha C,Noite,80,59
2024-04-09,Base Macaé,Linha A,Manhã,120,97
2024-04-09,Base Macaé,Linha A,Tarde,120,106
2024-04-09,Base Macaé,Linha A,Noite,120,99
2024-04-09,Base Macaé,Linha B,Manhã,100,82
2024-04-09,Base Macaé,Linha B,Tarde,100,80
2024-04-09,Base Macaé,Linha B,Noite,100,83
2024-04-09,Base Macaé,Linha C,Manhã,80,55
2024-04-09,Base Macaé,Linha C,Tarde,80,69
2024-04-09,Base Macaé,Linha C,Noite,80,68
2024-04-10,Base Macaé,Linha A,Manhã,120,100
2024-04-10,Base Macaé,Linha A,Tarde,120,99
2024-04-10,Base Macaé,Linha A,Noite,120,99
2024-04-10,Base Macaé,Linha B,Manhã,100,90
2024-04-10,Base Macaé,Linha B,Tarde,100,80
2024-04-10,Base Macaé,Linha B,Noite,100,78
2024-04-10,Base Macaé,Linha C,Manhã,80,66
2024-04-10,Base Macaé,Linha C,Tarde,80,62
2024-04-10,Base Macaé,Linha C,Noite,80,71
2024-04-11,Base Macaé,Linha A,Manhã,120,98
2024-04-11,Base Macaé,Linha A,Tarde,120,113
2024-04-11,Base Macaé,Linha A,Noite,120,115
2024-04-11,Base Macaé,Linha B,Manhã,100,93
2024-04-11,Base Macaé,Linha B,Tarde,100,97
2024-04-11,Base Macaé,Linha B,Noite,100,87
2024-04-11,Base Macaé,Linha C,Manhã,80,56
2024-04-11,Base Macaé,Linha C,Tarde,80,59
2024-04-11,Base Macaé,Linha C,Noite,80,68
2024-04-12,Base Macaé,Linha A,Manhã,120,97
2024-04-12,Base Macaé,Linha A,Tarde,120,99
2024-04-12,Base Macaé,Linha A,Noite,120,106
2024-04-12,Base Macaé,Linha B,Manhã,100,87
2024-04-12,Base Macaé,Linha B,Tarde,100,86
2024-04-12,Base Macaé,Linha B,Noite,100,92
2024-04-12,Base Macaé,Linha C,Manhã,80,58
2024-04-12,Base Macaé,Linha C,Tarde,80,72
2024-04-12,Base Macaé,Linha C,Noite,80,57
2024-04-13,Base Macaé,Linha A,Manhã,120,93
2024-04-13,Base Macaé,Linha A,Tarde,120,114
2024-04-13,Base Macaé,Linha A,Noite,120,106
2024-04-13,Base Macaé,Linha B,Manhã,100,82
2024-04-13,Base Macaé,Linha B,Tarde,100,89
2024-04-13,Base Macaé,Linha B,Noite,100,75
2024-04-13,Base Macaé,Linha C,Manhã,80,69
2024-04-13,Base Macaé,Linha C,Tarde,80,68
2024-04-13,Base Macaé,Linha C,Noite,80,57
2024-04-14,Base Macaé,Linha A,Manhã,120,95
2024-04-14,Base Macaé,Linha A,Tarde,120,93
2024-04-14,Base Macaé,Linha A,Noite,120,92
2024-04-14,Base Macaé,Linha B,Manhã,100,85
2024-04-14,Base Macaé,Linha B,Tarde,100,87
2024-04-14,Base Macaé,Linha B,Noite,100,83
2024-04-14,Base Macaé,Linha C,Manhã,80,62
2024-04-14,Base Macaé,Linha C,Tarde,80,59
2024-04-14,Base Macaé,Linha C,Noite,80,60
2024-04-15,Base Macaé,Linha A,Manhã,120,99
2024-04-15,Base Macaé,Linha A,Tarde,120,111
2024-04-15,Base Macaé,Linha A,Noite,120,98
2024-04-15,Base Macaé,Linha B,Manhã,100,85
2024-04-15,Base Macaé,Linha B,Tarde,100,83
2024-04-15,Base Macaé,Linha B,Noite,100,89
2024-04-15,Base Macaé,Linha C,Manhã,80,65
2024-04-15,Base Macaé,Linha C,Tarde,80,51
2024-04-15,Base Macaé,Linha C,Noite,80,52
2024-04-16,Base Macaé,Linha A,Manhã,120,96
2024-04-16,Base Macaé,Linha A,Tarde,120,114
2024-04-16,Base Macaé,Linha A,Noite,120,113
2024-04-16,Base Macaé,Linha B,Manhã,100,75
2024-04-16,Base Macaé,Linha B,Tarde,100,92
2024-04-16,Base Macaé,Linha B,Noite,100,87
2024-04-16,Base Macaé,Linha C,Manhã,80,64
2024-04-16,Base Macaé,Linha C,Tarde,80,64
2024-04-16,Base Macaé,Linha C,Noite,80,58
2024-04-17,Base Macaé,Linha A,Manhã,120,109
2024-04-17,Base Macaé,Linha A,Tarde,120,109
2024-04-17,Base Macaé,Linha A,Noite,120,93
2024-04-17,Base Macaé,Linha B,Manhã,100,90
2024-04-17,Base Macaé,Linha B,Tarde,100,79
2024-04-17,Base Macaé,Linha B,Noite,100,75
2024-04-17,Base Macaé,Linha C,Manhã,80,69
2024-04-17,Base Macaé,Linha C,Tarde,80,55
2024-04-17,Base Macaé,Linha C,Noite,80,54
2024-04-18,Base Macaé,Linha A,Manhã,120,94
2024-04-18,Base Macaé,Linha A,Tarde,120,95
2024-04-18,Base Macaé,Linha A,Noite,120,111
2024-04-18,Base Macaé,Linha B,Manhã,100,84
2024-04-18,Base Macaé,Linha B,Tarde,100,89
2024-04-18,Base Macaé,Linha B,Noite,100,88
2024-04-18,Base Macaé,Linha C,Manhã,80,60
2024-04-18,Base Macaé,Linha C,Tarde,80,60
2024-04-18,Base Macaé,Linha C,Noite,80,64
2024-04-19,Base Macaé,Linha A,Manhã,120,92
2024-04-19,Base Macaé,Linha A,Tarde,120,104
2024-04-19,Base Macaé,Linha A,Noite,120,99
2024-04-19,Base Macaé,Linha B,Manhã,100,87
2024-04-19,Base Macaé,Linha B,Tarde,100,95
2024-04-19,Base Macaé,Linha B,Noite,100,90
2024-04-19,Base Macaé,Linha C,Manhã,80,58
2024-04-19,Base Macaé,Linha C,Tarde,80,62
2024-04-19,Base Macaé,Linha C,Noite,80,53
2024-04-20,Base Macaé,Linha A,Manhã,120,96
2024-04-20,Base Macaé,Linha A,Tarde,120,117
2024-04-20,Base Macaé,Linha A,Noite,120,105
2024-04-20,Base Macaé,Linha B,Manhã,100,87
2024-04-20,Base Macaé,Linha B,Tarde,100,79
2024-04-20,Base Macaé,Linha B,Noite,100,94
2024-04-20,Base Macaé,Linha C,Manhã,80,70
2024-04-20,Base Macaé,Linha C,Tarde,80,71
2024-04-20,Base Macaé,Linha C,Noite,80,56
2024-04-21,Base Macaé,Linha A,Manhã,120,117
2024-04-21,Base Macaé,Linha A,Tarde,120,94
2024-04-21,Base Macaé,Linha A,Noite,120,108
2024-04-21,Base Macaé,Linha B,Manhã,100,84
2024-04-21,Base Macaé,Linha B,Tarde,100,83
2024-04-21,Base Macaé,Linha B,Noite,100,75
2024-04-21,Base Macaé,Linha C,Manhã,80,59
2024-04-21,Base Macaé,Linha C,Tarde,80,64
